transaction_id,timestamp,country,card_brand,amount,currency,device,provider,status,error_code,latency_ms
1,2025-01-01T08:01:00,FR,visa,149.6,EUR,desktop,A,approved,OK,957
2,2025-01-01T08:02:00,UK,visa,120.15,EUR,desktop,A,approved,OK,918
3,2025-01-01T08:03:00,DE,visa,114.44,EUR,mobile,C,approved,OK,714
4,2025-01-01T08:04:00,FR,visa,141.14,EUR,mobile,B,approved,OK,533
5,2025-01-01T08:05:00,IT,visa,23.09,EUR,mobile,A,declined,TECH_ERROR,868
6,2025-01-01T08:06:00,UK,visa,194.76,EUR,desktop,B,approved,OK,468
7,2025-01-01T08:07:00,UK,mastercard,117.58,EUR,desktop,C,approved,OK,913
8,2025-01-01T08:08:00,FR,visa,173.96,EUR,mobile,B,approved,OK,748
9,2025-01-01T08:09:00,IT,visa,77.19,EUR,mobile,A,approved,OK,781
10,2025-01-01T08:10:00,DE,visa,36.86,EUR,mobile,B,declined,TECH_ERROR,607
11,2025-01-01T08:11:00,UK,visa,138.5,EUR,desktop,A,approved,OK,841
12,2025-01-01T08:12:00,FR,visa,183.06,EUR,mobile,C,approved,OK,785
13,2025-01-01T08:13:00,BR,mastercard,177.51,EUR,mobile,C,approved,OK,1026
14,2025-01-01T08:14:00,UK,mastercard,150.67,EUR,mobile,B,approved,OK,802
15,2025-01-01T08:15:00,DE,mastercard,22.73,EUR,desktop,A,approved,OK,897
16,2025-01-01T08:16:00,UK,visa,80.03,EUR,mobile,C,approved,OK,1053
17,2025-01-01T08:17:00,UK,visa,137.66,EUR,mobile,A,approved,OK,746
18,2025-01-01T08:18:00,DE,mastercard,5.63,EUR,mobile,C,declined,TIMEOUT,984
19,2025-01-01T08:19:00,UK,visa,174.75,EUR,desktop,B,approved,OK,661
20,2025-01-01T08:20:00,UK,visa,121.79,EUR,desktop,B,approved,OK,501
21,2025-01-01T08:21:00,IT,mastercard,51.69,EUR,desktop,A,approved,OK,754
22,2025-01-01T08:22:00,UK,visa,30.04,EUR,desktop,B,approved,OK,653
23,2025-01-01T08:23:00,UK,mastercard,193.05,EUR,desktop,C,approved,OK,755
