transaction_id,timestamp,country,card_brand,amount,currency,device,provider,status,error_code,latency_ms
tx_000001,2025-09-08T08:27:16.645469Z,UK,visa,40.62,EUR,mobile,A,approved,,255
tx_000002,2025-07-31T05:29:02.645469Z,MT,visa,73.15,EUR,mobile,B,approved,,339
tx_000003,2025-11-13T16:17:48.645469Z,SE,mastercard,66.61,EUR,desktop,A,approved,,260
tx_000004,2025-07-12T15:53:18.645469Z,ES,visa,32.23,EUR,mobile,A,approved,,491
tx_000005,2025-10-24T19:52:00.645469Z,NL,visa,76.28,EUR,mobile,B,approved,,273
tx_000006,2025-07-20T00:10:45.645469Z,DE,mastercard,72.98,EUR,desktop,C,approved,,418
tx_000007,2025-08-04T23:03:28.645469Z,ES,visa,39.76,EUR,mobile,B,approved,,298
tx_000008,2025-06-29T06:50:46.645469Z,FR,visa,36.59,EUR,mobile,C,approved,,428
tx_000009,2025-07-29T17:04:04.645469Z,DE,mastercard,203.7,EUR,desktop,A,approved,,518
tx_000010,2025-10-09T22:31:28.645469Z,SE,visa,42.41,EUR,desktop,B,approved,,397
tx_000011,2025-07-09T17:09:30.645469Z,NL,mastercard,109.41,EUR,mobile,A,approved,,417
tx_000012,2025-10-03T20:22:33.645469Z,FR,mastercard,88.02,EUR,desktop,A,approved,,461
tx_000013,2025-07-19T03:13:29.645469Z,MT,mastercard,45.02,EUR,mobile,C,approved,,280
tx_000014,2025-10-17T20:15:59.645469Z,SE,visa,156.17,EUR,desktop,B,approved,,303
tx_000015,2025-10-12T17:26:25.645469Z,IT,mastercard,32.7,EUR,mobile,A,declined,do_not_honor,466
tx_000016,2025-10-06T14:13:52.645469Z,ES,visa,173.15,EUR,mobile,A,approved,,401
tx_000017,2025-10-03T04:25:36.645469Z,UK,visa,48.67,EUR,mobile,A,approved,,232
tx_000018,2025-08-17T22:51:34.645469Z,FR,visa,55.81,EUR,desktop,A,approved,,553
tx_000019,2025-10-10T15:52:25.645469Z,NL,amex,30.61,EUR,mobile,A,approved,,413
tx_000020,2025-07-02T04:22:32.645469Z,NO,visa,30.95,EUR,mobile,A,approved,,361
tx_000021,2025-11-17T18:44:52.645469Z,NO,visa,145.97,EUR,mobile,A,approved,,610
tx_000022,2025-10-27T04:15:45.645469Z,SE,mastercard,21.88,EUR,mobile,A,approved,,468
tx_000023,2025-07-24T01:16:21.645469Z,UK,visa,65.26,EUR,desktop,C,approved,,577
tx_000024,2025-10-01T09:28:43.645469Z,IT,visa,75.67,EUR,desktop,A,approved,,217
tx_000025,2025-06-29T19:25:01.645469Z,MT,amex,69.0,EUR,desktop,C,approved,,659
tx_000026,2025-10-04T08:13:28.645469Z,FR,visa,53.28,EUR,desktop,A,declined,invalid_card_number,301
tx_000027,2025-10-09T20:37:16.645469Z,SE,visa,19.61,EUR,mobile,C,approved,,436
tx_000028,2025-10-27T12:52:29.645469Z,SE,visa,60.17,EUR,desktop,A,approved,,409
tx_000029,2025-10-06T04:18:17.645469Z,DE,visa,37.04,EUR,desktop,B,approved,,317
