transaction_id,timestamp,country,card_brand,amount,currency,device,provider,status,error_code,latency_ms
tx_000001,2025-10-14T16:17:44.640425Z,MT,visa,20.2,EUR,desktop,C,approved,,678
tx_000002,2025-06-29T15:11:25.640425Z,MT,visa,196.17,EUR,mobile,B,approved,,268
tx_000003,2025-09-24T19:29:08.640425Z,UK,mastercard,18.63,EUR,mobile,A,approved,,409
tx_000004,2025-12-08T00:05:24.640425Z,IT,mastercard,234.75,EUR,mobile,A,approved,,518
tx_000005,2025-10-17T08:25:08.640425Z,UK,visa,9.94,EUR,mobile,C,approved,,355
tx_000006,2025-11-17T01:18:01.640425Z,SE,mastercard,14.2,EUR,desktop,A,approved,,389
tx_000007,2025-07-10T10:13:45.640425Z,ES,visa,66.67,EUR,mobile,A,approved,,557
tx_000008,2025-07-04T16:01:58.640425Z,IT,visa,42.64,EUR,desktop,C,approved,,480
tx_000009,2025-09-12T11:05:28.640425Z,ES,visa,96.69,EUR,mobile,B,approved,,464
tx_000010,2025-12-07T06:47:06.640425Z,PL,visa,65.52,EUR,mobile,C,declined,invalid_card_number,509
tx_000011,2025-11-03T18:03:45.640425Z,ES,visa,45.7,EUR,mobile,A,declined,do_not_honor,298
tx_000012,2025-10-10T06:40:17.640425Z,MT,visa,17.43,EUR,mobile,C,approved,,639
tx_000013,2025-06-28T08:20:08.640425Z,NL,mastercard,53.74,EUR,mobile,A,approved,,483
tx_000014,2025-09-15T10:07:10.640425Z,DE,amex,52.15,EUR,mobile,A,approved,,525
tx_000015,2025-07-10T02:00:11.640425Z,NO,visa,22.66,EUR,mobile,B,approved,,259
tx_000016,2025-10-06T09:04:39.640425Z,PL,visa,28.79,EUR,mobile,A,approved,,472
tx_000017,2025-10-01T11:06:21.640425Z,PL,visa,51.64,EUR,mobile,A,approved,,470
tx_000018,2025-07-02T16:59:56.640425Z,PL,visa,91.91,EUR,mobile,A,declined,invalid_card_number,487
tx_000019,2025-10-26T05:25:26.640425Z,SE,mastercard,40.09,EUR,mobile,A,approved,,296
tx_000020,2025-10-14T21:16:45.640425Z,SE,visa,129.95,EUR,mobile,A,approved,,323
tx_000021,2025-10-14T04:05:24.640425Z,NL,mastercard,66.15,EUR,mobile,B,approved,,532
tx_000022,2025-07-26T18:21:13.640425Z,MT,mastercard,133.4,EUR,desktop,B,approved,,411
tx_000023,2025-09-15T10:36:57.640425Z,PL,mastercard,160.36,EUR,desktop,A,approved,,760
tx_000024,2025-09-13T07:38:47.640425Z,SE,mastercard,33.36,EUR,mobile,A,approved,,509
tx_000025,2025-10-11T15:49:18.640425Z,ES,visa,22.04,EUR,desktop,A,approved,,444
tx_000026,2025-10-21T02:11:58.640425Z,IT,visa,121.15,EUR,mobile,A,approved,,292
tx_000027,2025-12-06T15:03:45.640425Z,PL,visa,82.86,EUR,desktop,A,declined,invalid_card_number,359
tx_000028,2025-07-18T08:17:43.640425Z,UK,mastercard,61.67,EUR,mobile,A,approved,,338
tx_000029,2025-07-09T02:47:51.640425Z,PL,mastercard,20.66,EUR,mobile,A,approved,,465
tx_000030,2025-10-28T15:01:36.640425Z,MT,mastercard,34.54,EUR,mobile,C,approved,,721
tx_000031,2025-10-04T10:12:12.640425Z,NO,visa,80.48,EUR,mobile,A,approved,,423
tx_000032,2025-07-04T14:43:20.640425Z,ES,visa,71.94,EUR,mobile,A,approved,,330
tx_000033,2025-08-16T11:42:01.640425Z,DE,mastercard,46.71,EUR,desktop,B,approved,,485
tx_000034,2025-10-14T11:39:33.640425Z,MT,visa,66.15,EUR,desktop,B,approved,,206
tx_000035,2025-08-21T06:59:50.640425Z,FR,mastercard,56.66,EUR,mobile,A,declined,expired_card,312
tx_000036,2025-11-24T11:33:45.640425Z,SE,visa,15.17,EUR,desktop,A,approved,,237
tx_000037,2025-06-22T06:30:13.640425Z,FR,visa,54.59,EUR,desktop,A,approved,,387
tx_000038,2025-08-28T11:56:55.640425Z,IT,amex,22.37,EUR,mobile,C,approved,,620
tx_000039,2025-06-30T21:02:57.640425Z,UK,visa,18.37,EUR,mobile,C,approved,,400
tx_000040,2025-10-08T16:45:00.640425Z,DE,mastercard,19.87,EUR,mobile,B,approved,,375
tx_000041,2025-06-22T07:01:21.640425Z,ES,visa,14.5,EUR,mobile,B,approved,,385
tx_000042,2025-08-16T04:45:44.640425Z,NL,visa,100.5,EUR,desktop,B,declined,suspected_fraud,345
tx_000043,2025-09-13T12:40:19.640425Z,IT,mastercard,42.13,EUR,mobile,A,approved,,282
tx_000044,2025-07-31T12:04:58.640425Z,IT,mastercard,51.4,EUR,mobile,B,approved,,369
tx_000045,2025-10-16T11:49:53.640425Z,PL,mastercard,75.39,EUR,mobile,B,approved,,376
tx_000046,2025-09-01T11:43:23.640425Z,NO,visa,25.15,EUR,mobile,B,approved,,337
tx_000047,2025-10-22T18:44:29.640425Z,NL,mastercard,83.03,EUR,mobile,B,approved,,336
tx_000048,2025-08-18T05:27:35.640425Z,ES,visa,41.29,EUR,mobile,A,approved,,427
tx_000049,2025-09-14T06:46:36.640425Z,IT,mastercard,28.2,EUR,desktop,B,declined,do_not_honor,329
tx_000050,2025-09-23T20:29:00.640425Z,ES,visa,53.47,EUR,mobile,A,approved,,337
tx_000051,2025-11-11T18:22:38.640425Z,MT,amex,36.09,EUR,mobile,A,approved,,275
tx_000052,2025-07-18T08:01:24.640425Z,UK,visa,200.48,EUR,mobile,A,approved,,542
tx_000053,2025-10-10T23:47:10.640425Z,FR,visa,19.49,EUR,mobile,A,approved,,514
